Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
jobs,"25,806",1.13,11.60%,7.06%,00:01:40,1.47
sorn,"6,517",1.08,1.83%,5.65%,00:02:38,1.81
contact,"5,975",1.19,13.72%,28.32%,00:02:41,2.22
job search,"5,428",1.12,6.63%,5.09%,00:01:39,1.36
student finance,"4,826",1.18,2.84%,7.97%,00:03:30,3.63
passport,"4,814",1.18,4.32%,16.40%,00:04:28,4.41
income support,"4,609",1.21,3.45%,20.54%,00:04:59,4.82
job,"4,482",1.12,8.75%,9.44%,00:02:02,1.68
theory test,"4,280",1.23,3.20%,8.34%,00:03:22,2.16
universal jobmatch,"4,268",1.17,2.37%,5.54%,00:02:51,1.61
esa,"4,235",1.21,3.47%,22.33%,00:04:39,4.79
visa,"4,163",1.20,14.17%,24.07%,00:02:10,1.94
jsa,"3,569",1.16,2.58%,15.21%,00:03:48,3.64
turkey,"3,476",1.17,5.96%,16.41%,00:02:31,2.81
maternity,"3,031",1.47,7.46%,17.23%,00:05:39,6.85
pension credit,"2,985",1.26,4.36%,17.08%,00:04:53,4.35
rapid reclaim,"2,945",1.33,3.16%,10.36%,00:05:01,4.50
redundancy,"2,927",1.33,5.02%,14.43%,00:05:26,6.74
change of address,"2,839",1.26,10.25%,20.10%,00:04:03,2.28
Jobs,"2,752",1.09,22.86%,9.01%,00:01:29,1.25
continuation sheet,"2,570",1.15,2.45%,14.35%,00:01:39,1.64
pensions,"2,536",1.22,6.66%,21.48%,00:05:09,5.52
pension,"2,511",1.21,6.13%,21.52%,00:04:41,5.21
ehic,"2,489",1.20,56.85%,10.24%,00:01:39,0.96
state pension,"2,414",1.23,4.14%,17.65%,00:05:06,5.81
jobsearch,"2,337",1.14,4.92%,6.97%,00:02:23,1.55
v62,"2,250",1.22,5.24%,16.97%,00:02:18,1.76
universal job match,"2,189",1.18,2.92%,5.57%,00:02:49,1.66
dbs,"2,174",1.26,5.57%,21.56%,00:04:18,4.17
driving test,"2,167",1.19,4.61%,13.62%,00:03:01,2.45
housing benefit,"2,072",1.14,4.58%,20.39%,00:05:15,4.77
dla,"2,043",1.28,4.16%,22.86%,00:04:34,5.15
carers allowance,"2,026",1.18,4.00%,17.81%,00:04:24,4.73
dvla,"2,012",1.18,8.40%,21.75%,00:03:30,2.75
attendance allowance,"1,992",1.19,3.46%,16.74%,00:04:18,4.60
national insurance,"1,984",1.15,4.39%,21.25%,00:03:44,4.17
job seekers allowance,"1,887",1.15,2.23%,13.59%,00:04:29,4.10
forms,"1,860",1.18,10.38%,53.33%,00:02:10,2.02
maternity allowance,"1,833",1.23,2.62%,17.71%,00:05:26,5.63
minimum wage,"1,821",1.36,3.24%,12.69%,00:02:44,4.27
blue badge,"1,820",1.22,4.23%,12.48%,00:03:03,2.46
council tax,"1,789",1.22,5.48%,14.62%,00:02:47,3.13
vacancies,"1,770",1.29,24.52%,16.86%,00:01:54,2.01
log in,"1,744",1.12,13.59%,23.16%,00:02:16,2.24
car tax,"1,734",1.11,3.81%,13.40%,00:02:55,2.10
child benefit,"1,703",1.15,4.87%,23.42%,00:04:12,4.04
passports,"1,701",1.20,5.70%,20.51%,00:04:26,4.21
contact number,"1,663",1.14,19.72%,26.06%,00:02:21,2.06
job seekers,"1,661",1.19,4.88%,16.06%,00:03:33,3.56
working tax credit,"1,635",1.14,2.26%,17.56%,00:04:56,4.17
tax credits,"1,610",1.22,5.71%,17.76%,00:03:22,3.20
pip,"1,608",1.20,3.67%,19.31%,00:04:52,5.88
crb,"1,585",1.29,10.16%,19.15%,00:03:07,3.13
national insurance number,"1,582",1.20,4.74%,13.04%,00:02:59,2.52
mot,"1,551",1.21,4.96%,12.56%,00:02:18,2.13
budgeting loan,"1,548",1.15,2.84%,14.17%,00:03:52,4.30
grants,"1,529",1.39,14.58%,29.41%,00:04:35,4.90
universal credit,"1,497",1.42,8.08%,17.87%,00:05:28,4.81
tax disc,"1,490",1.14,3.09%,11.18%,00:03:13,2.03
cv,"1,482",1.21,60.46%,13.87%,00:01:34,0.97
jobseekers,"1,432",1.19,3.07%,11.61%,00:03:19,3.53
tax,"1,409",1.15,9.44%,30.69%,00:02:47,2.50
ESA,"1,403",1.21,3.28%,22.33%,00:04:14,4.42
change address,"1,390",1.21,7.91%,20.02%,00:04:12,2.05
passport fees,"1,382",1.16,2.97%,16.58%,00:02:23,2.41
advertise a job,"1,362",1.16,1.98%,4.29%,00:02:21,1.76
crisis loan,"1,333",1.27,9.30%,16.86%,00:03:43,4.09
contact us,"1,324",1.12,17.90%,29.03%,00:02:31,2.30
jobseekers allowance,"1,322",1.16,1.36%,13.71%,00:04:32,3.94
ssp,"1,322",1.21,3.25%,22.10%,00:04:24,4.96
maternity pay,"1,310",1.26,3.66%,19.70%,00:05:17,6.55
login,"1,252",1.13,14.70%,18.27%,00:02:33,2.11
sick pay,"1,247",1.27,6.50%,23.83%,00:04:35,4.68
loans,"1,240",1.30,10.89%,18.91%,00:04:05,4.78
driving licence,"1,221",1.19,6.55%,17.75%,00:04:56,3.01
maternity leave,"1,197",1.33,5.01%,22.66%,00:05:49,6.23
working tax credits,"1,152",1.11,2.26%,17.91%,00:04:21,3.99
green deal,"1,150",1.27,6.43%,14.33%,00:04:24,3.81
EHIC,"1,142",1.20,53.06%,11.20%,00:01:53,1.06
